joint k=2: 512/16570; batch max true -0.001942691; total 8.2s
joint k=2: 1024/16570; batch max true -0.001676977; total 15.4s
joint k=2: 1536/16570; batch max true -0.001307533; total 22.6s
joint k=2: 2048/16570; batch max true -0.001456974; total 30.1s
joint k=2: 2560/16570; batch max true -0.001100789; total 37.2s
joint k=2: 3072/16570; batch max true -0.001621921; total 44.7s
joint k=2: 3584/16570; batch max true -0.0009675526; total 52.1s
joint k=2: 4096/16570; batch max true -0.0004550919; total 59.8s
joint k=2: 4608/16570; batch max true -0.001182951; total 67.7s
joint k=2: 5120/16570; batch max true -0.00165645; total 75.2s
joint k=2: 5632/16570; batch max true -0.001256738; total 82.5s
joint k=2: 6144/16570; batch max true -0.001135483; total 89.9s
joint k=2: 6656/16570; batch max true -0.0009598096; total 97.2s
joint k=2: 7168/16570; batch max true -0.001126016; total 104.6s
joint k=2: 7680/16570; batch max true -0.001293612; total 111.9s
joint k=2: 8192/16570; batch max true -0.0006743427; total 119.4s
joint k=2: 8704/16570; batch max true -0.0008320763; total 126.9s
joint k=2: 9216/16570; batch max true -0.001216069; total 134.2s
joint k=2: 9728/16570; batch max true -0.001070223; total 141.7s
joint k=2: 10240/16570; batch max true -0.0007774791; total 149.1s
joint k=2: 10752/16570; batch max true -0.001605202; total 156.5s
joint k=2: 11264/16570; batch max true -0.001498073; total 164.1s
joint k=2: 11776/16570; batch max true -0.0009980058; total 171.3s
joint k=2: 12288/16570; batch max true -0.001084285; total 178.7s
joint k=2: 12800/16570; batch max true -0.0003369271; total 186.4s
joint k=2: 13312/16570; batch max true -0.001530326; total 194.5s
joint k=2: 13824/16570; batch max true -0.0007933161; total 202.0s
joint k=2: 14336/16570; batch max true -0.001388242; total 209.4s
joint k=2: 14848/16570; batch max true -0.0009327704; total 216.8s
joint k=2: 15360/16570; batch max true -0.001274965; total 224.1s
joint k=2: 15872/16570; batch max true -0.00122112; total 231.5s
joint k=2: 16384/16570; batch max true -0.001032944; total 239.0s
joint k=2: 16570/16570; batch max true -0.000331713; total 244.3s
joint k=3: 512/16570; batch max true -0.001463804; total 7.7s
joint k=3: 1024/16570; batch max true -0.001412805; total 15.4s
joint k=3: 1536/16570; batch max true -0.001363674; total 23.0s
joint k=3: 2048/16570; batch max true -0.001526437; total 30.7s
joint k=3: 2560/16570; batch max true -0.00166383; total 38.4s
joint k=3: 3072/16570; batch max true -0.001489043; total 46.1s
joint k=3: 3584/16570; batch max true -0.001643933; total 53.8s
joint k=3: 4096/16570; batch max true -0.001614136; total 61.3s
joint k=3: 4608/16570; batch max true -0.001534805; total 69.0s
joint k=3: 5120/16570; batch max true -0.001897119; total 76.6s
joint k=3: 5632/16570; batch max true -0.00165803; total 84.4s
joint k=3: 6144/16570; batch max true -0.001246983; total 92.4s
joint k=3: 6656/16570; batch max true -0.001767285; total 100.1s
joint k=3: 7168/16570; batch max true -0.001554728; total 107.8s
joint k=3: 7680/16570; batch max true -0.001971492; total 115.5s
joint k=3: 8192/16570; batch max true -0.001825944; total 123.0s
joint k=3: 8704/16570; batch max true -0.001791342; total 130.7s
joint k=3: 9216/16570; batch max true -0.001881676; total 138.4s
joint k=3: 9728/16570; batch max true -0.001641272; total 146.1s
joint k=3: 10240/16570; batch max true -0.002324505; total 153.8s
joint k=3: 10752/16570; batch max true -0.001983387; total 161.4s
joint k=3: 11264/16570; batch max true -0.001891339; total 169.2s
joint k=3: 11776/16570; batch max true -0.001797253; total 176.9s
joint k=3: 12288/16570; batch max true -0.001687655; total 184.5s
joint k=3: 12800/16570; batch max true -0.0004381713; total 192.3s
joint k=3: 13312/16570; batch max true -0.001102137; total 201.2s
joint k=3: 13824/16570; batch max true -0.0008635121; total 208.9s
joint k=3: 14336/16570; batch max true -0.0009225965; total 216.6s
joint k=3: 14848/16570; batch max true -0.0009088885; total 224.2s
joint k=3: 15360/16570; batch max true -0.001339517; total 231.9s
joint k=3: 15872/16570; batch max true -0.001149221; total 239.6s
joint k=3: 16384/16570; batch max true -0.0005641166; total 247.2s
joint k=3: 16570/16570; batch max true -0.0003176009; total 252.9s
