500 audited; 12s; failures=0
1000 audited; 24s; failures=0
1500 audited; 38s; failures=0
2000 audited; 50s; failures=0
2500 audited; 63s; failures=0
3000 audited; 75s; failures=0
3500 audited; 87s; failures=0
4000 audited; 99s; failures=0
4500 audited; 111s; failures=0
5000 audited; 124s; failures=0
5500 audited; 136s; failures=0
6000 audited; 148s; failures=0
6500 audited; 160s; failures=0
7000 audited; 172s; failures=0
7500 audited; 184s; failures=0
8000 audited; 196s; failures=0
8500 audited; 207s; failures=0
9000 audited; 219s; failures=0
9500 audited; 230s; failures=0
10000 audited; 242s; failures=0
10500 audited; 253s; failures=0
11000 audited; 265s; failures=0
11500 audited; 276s; failures=0
12000 audited; 288s; failures=0
12500 audited; 300s; failures=0
13000 audited; 311s; failures=0
13500 audited; 323s; failures=0
14000 audited; 335s; failures=0
14500 audited; 346s; failures=0
15000 audited; 358s; failures=0
15500 audited; 369s; failures=0
16000 audited; 381s; failures=0
16500 audited; 392s; failures=0
17000 audited; 404s; failures=0
17500 audited; 415s; failures=0
18000 audited; 427s; failures=0
18500 audited; 438s; failures=0
19000 audited; 450s; failures=0
19500 audited; 461s; failures=0
20000 audited; 473s; failures=0
20500 audited; 484s; failures=0
21000 audited; 495s; failures=0
21500 audited; 507s; failures=0
22000 audited; 518s; failures=0
22500 audited; 530s; failures=0
23000 audited; 541s; failures=0
23500 audited; 552s; failures=0
24000 audited; 564s; failures=0
24500 audited; 575s; failures=0
25000 audited; 587s; failures=0
25500 audited; 598s; failures=0
26000 audited; 609s; failures=0
26500 audited; 620s; failures=0
27000 audited; 631s; failures=0
27500 audited; 643s; failures=0
28000 audited; 655s; failures=0
28500 audited; 666s; failures=0
29000 audited; 677s; failures=0
29500 audited; 689s; failures=0
30000 audited; 700s; failures=0
30500 audited; 712s; failures=0
31000 audited; 723s; failures=0
31500 audited; 734s; failures=0
32000 audited; 745s; failures=0
32500 audited; 757s; failures=0
33000 audited; 765s; failures=0
33500 audited; 765s; failures=0
