shard 2: controls PASS; targets=8211
shard 2: 250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 250}; elapsed=34.5s
shard 2: 500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 500}; elapsed=69.8s
shard 2: 750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 750}; elapsed=105.5s
shard 2: 1000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 1000}; elapsed=139.6s
shard 2: 1250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 1250}; elapsed=172.4s
shard 2: 1500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 1500}; elapsed=205.1s
shard 2: 1750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 1750}; elapsed=238.4s
shard 2: 2000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 2000}; elapsed=271.5s
shard 2: 2250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 2250}; elapsed=304.2s
shard 2: 2500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 2500}; elapsed=338.5s
shard 2: 2750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 2750}; elapsed=372.4s
shard 2: 3000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 3000}; elapsed=406.0s
shard 2: 3250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 3250}; elapsed=441.6s
shard 2: 3500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 3500}; elapsed=477.4s
shard 2: 3750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 3750}; elapsed=513.3s
shard 2: 4000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 4000}; elapsed=548.7s
shard 2: 4250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 4250}; elapsed=582.0s
shard 2: 4500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 4500}; elapsed=615.5s
shard 2: 4750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 4750}; elapsed=649.0s
shard 2: 5000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 5000}; elapsed=684.7s
shard 2: 5250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 5250}; elapsed=720.7s
shard 2: 5500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 5500}; elapsed=758.6s
shard 2: 5750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 5750}; elapsed=795.2s
shard 2: 6000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 6000}; elapsed=829.2s
shard 2: 6250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 6250}; elapsed=862.2s
shard 2: 6500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 6500}; elapsed=895.0s
shard 2: 6750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 6750}; elapsed=926.1s
shard 2: 7000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 7000}; elapsed=959.0s
shard 2: 7250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 7250}; elapsed=990.9s
shard 2: 7500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 7500}; elapsed=1023.7s
shard 2: 7750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 7750}; elapsed=1055.7s
shard 2: 8000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 8000}; elapsed=1087.1s
shard 2: 8211/8211 {'EXACT_CELLWIDE_CERTIFICATE': 8211}; elapsed=1111.9s
wrote C:\Users\reuel\AppData\Local\Temp\claude\E--Projects\8f05ea6b-b743-4889-b448-362647b88861\scratchpad\finite-certificates\ai\maxout\stage2c2_gpt\gp_all_d2_shard_02_of_04.json.gz (150226 bytes)
