shard 2: controls PASS; targets=8211
shard 2: 250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 250}; elapsed=38.5s
shard 2: 500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 500}; elapsed=76.6s
shard 2: 750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 750}; elapsed=112.6s
shard 2: 1000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 1000}; elapsed=147.0s
shard 2: 1250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 1250}; elapsed=179.9s
shard 2: 1500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 1500}; elapsed=212.2s
shard 2: 1750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 1750}; elapsed=245.5s
shard 2: 2000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 2000}; elapsed=280.4s
shard 2: 2250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 2250}; elapsed=316.0s
shard 2: 2500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 2500}; elapsed=351.4s
shard 2: 2750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 2750}; elapsed=383.8s
shard 2: 3000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 3000}; elapsed=417.1s
shard 2: 3250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 3250}; elapsed=449.9s
shard 2: 3500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 3500}; elapsed=482.4s
shard 2: 3750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 3750}; elapsed=515.2s
shard 2: 4000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 4000}; elapsed=551.5s
shard 2: 4250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 4250}; elapsed=588.4s
shard 2: 4500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 4500}; elapsed=625.7s
shard 2: 4750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 4750}; elapsed=662.6s
shard 2: 5000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 5000}; elapsed=698.3s
shard 2: 5250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 5250}; elapsed=731.9s
shard 2: 5500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 5500}; elapsed=766.0s
shard 2: 5750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 5750}; elapsed=799.7s
shard 2: 6000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 6000}; elapsed=833.9s
shard 2: 6250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 6250}; elapsed=869.4s
shard 2: 6500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 6500}; elapsed=905.4s
shard 2: 6750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 6750}; elapsed=939.3s
shard 2: 7000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 7000}; elapsed=975.2s
shard 2: 7250/8211 {'EXACT_CELLWIDE_CERTIFICATE': 7250}; elapsed=1010.5s
shard 2: 7500/8211 {'EXACT_CELLWIDE_CERTIFICATE': 7500}; elapsed=1046.2s
shard 2: 7750/8211 {'EXACT_CELLWIDE_CERTIFICATE': 7750}; elapsed=1080.8s
shard 2: 8000/8211 {'EXACT_CELLWIDE_CERTIFICATE': 8000}; elapsed=1115.7s
shard 2: 8211/8211 {'EXACT_CELLWIDE_CERTIFICATE': 8211}; elapsed=1144.7s
wrote C:\Users\reuel\AppData\Local\Temp\claude\E--Projects\8f05ea6b-b743-4889-b448-362647b88861\scratchpad\finite-certificates\ai\maxout\stage2c2_gpt\gp_all_d2_shard_02_of_04.json.gz (150226 bytes)
