0 root
1 0 0 2,3,6,7,8,1,5,4 26 0
2 1 12 4,8,7,3,6,1,2,5 15 0
3 1 14 2,4,7,6,1,8,3,5 114 0
4 1 24 1,2,3,4,5,6,8,7 0 0
5 1 25 4,2,8,5,1,6,7,3 7 0
6 2 0 1,2,3,4,6,5,8,7 15 0
7 2 18 1,4,2,5,8,3,7,6 4 0
8 2 33 2,1,8,7,3,4,5,6 13 0
9 2 61 4,3,6,5,1,2,7,8 67 0
10 3 3 2,1,6,8,4,5,3,7 35 0
11 3 51 5,7,4,3,1,6,8,2 115 0
12 4 19 3,1,8,6,7,2,5,4 64 0
13 5 4 1,8,3,6,4,7,2,5 65 0
14 5 33 1,2,5,4,7,3,8,6 0 0
15 5 52 4,7,2,3,6,1,5,8 15 0
16 6 18 1,4,5,2,8,3,6,7 118 0
17 6 34 1,2,7,8,4,3,5,6 1 0
18 6 62 3,4,6,5,2,1,7,8 67 0
19 7 9 1,5,4,8,6,3,7,2 71 0
20 7 22 2,4,1,6,8,5,3,7 49 0
21 7 26 2,4,6,1,3,8,5,7 16 0
22 7 63 2,4,1,6,3,5,8,7 49 0
23 8 18 2,5,8,3,6,1,4,7 57 0
24 8 37 2,6,1,5,7,3,8,4 35 0
25 8 61 2,8,1,4,5,3,6,7 57 0
26 8 67 1,2,3,4,8,7,5,6 6 0
27 8 68 5,3,7,8,6,1,2,4 16 0
28 9 54 1,3,7,4,5,2,6,8 36 0
29 9 63 3,5,1,2,4,7,8,6 7 0
30 9 67 3,4,1,2,6,5,7,8 108 0
31 10 8 1,8,3,5,7,4,2,6 63 0
32 10 22 7,5,1,2,6,4,8,3 126 0
33 10 33 1,2,4,6,7,3,5,8 56 0
34 10 48 3,4,5,1,7,2,8,6 39 0
35 10 52 4,2,7,3,1,5,6,8 69 0
36 11 33 2,1,5,4,7,3,8,6 3 0
37 11 51 1,7,4,3,6,5,2,8 12 0
38 11 55 3,4,2,6,1,7,5,8 50 0
39 12 8 1,8,5,4,3,7,6,2 72 0
40 12 34 1,2,6,3,7,4,8,5 51 0
41 12 37 3,1,5,6,2,4,7,8 54 0
42 12 52 3,2,7,4,5,1,6,8 126 0
43 12 61 1,2,3,4,7,5,8,6 5 0
44 13 24 1,2,7,3,5,6,8,4 68 0
45 13 56 5,1,3,6,4,2,7,8 22 0
46 13 69 3,6,2,1,5,4,8,7 7 0
47 14 52 1,2,6,7,4,3,5,8 1 0
48 14 57 4,2,5,1,6,3,7,8 43 0
49 15 33 7,8,2,3,5,6,4,1 97 0
50 16 9 1,4,7,3,2,6,8,5 109 0
51 16 29 2,1,8,5,4,6,3,7 59 0
52 16 33 1,4,2,5,3,6,8,7 50 0
53 16 44 2,3,1,6,5,4,7,8 6 0
54 16 48 2,6,3,5,1,4,8,7 37 0
55 16 57 1,4,2,5,3,8,6,7 50 0
56 16 61 2,3,1,6,5,4,7,8 6 0
57 17 18 2,1,5,6,8,3,4,7 50 0
58 17 37 2,6,1,5,7,4,8,3 35 0
59 17 61 2,8,1,5,4,3,6,7 5 0
60 17 67 5,7,8,6,1,4,3,2 8 0
61 17 68 1,2,4,3,8,7,5,6 57 0
62 18 54 1,3,7,4,5,2,6,8 36 0
63 18 63 3,1,2,4,7,5,6,8 0 0
64 18 67 3,4,2,1,5,6,8,7 99 0
65 19 15 4,5,8,3,1,2,7,6 111 0
66 20 9 3,7,1,4,2,6,5,8 45 0
67 20 22 1,3,4,6,2,7,5,8 44 0
68 20 27 1,3,2,8,5,7,6,4 6 0
69 20 43 3,1,4,6,2,7,5,8 41 0
70 20 53 1,2,3,6,8,4,7,5 4 0
71 20 60 1,2,4,3,5,7,6,8 12 0
72 20 69 1,2,3,4,5,6,8,7 0 0
73 21 25 1,4,2,5,3,7,6,8 13 0
74 21 42 2,5,4,3,1,6,7,8 1 0
75 21 47 4,1,2,5,3,7,6,8 4 0
76 21 63 4,5,3,1,2,6,7,8 59 0
77 21 69 3,1,2,5,4,6,7,8 4 0
78 22 52 2,1,3,6,5,8,4,7 6 0
