0 done, 2628 to go
  50/2628 parents, 141s
  100/2628 parents, 272s
  150/2628 parents, 412s
  200/2628 parents, 533s
  250/2628 parents, 678s
  300/2628 parents, 827s
  350/2628 parents, 970s
  400/2628 parents, 1121s
  450/2628 parents, 1266s
  500/2628 parents, 1404s
  550/2628 parents, 1529s
  600/2628 parents, 1665s
  650/2628 parents, 1788s
  700/2628 parents, 1935s
  750/2628 parents, 2076s
  800/2628 parents, 2215s
  850/2628 parents, 2350s
  900/2628 parents, 2497s
  950/2628 parents, 2626s
  1000/2628 parents, 2747s
  1050/2628 parents, 2826s
  1100/2628 parents, 2905s
  1150/2628 parents, 2988s
  1200/2628 parents, 3075s
  1250/2628 parents, 3160s
  1300/2628 parents, 3236s
  1350/2628 parents, 3308s
  1400/2628 parents, 3382s
  1450/2628 parents, 3453s
  1500/2628 parents, 3520s
  1550/2628 parents, 3590s
  1600/2628 parents, 3666s
  1650/2628 parents, 3735s
  1700/2628 parents, 3801s
  1750/2628 parents, 3870s
  1800/2628 parents, 3934s
  1850/2628 parents, 4014s
  1900/2628 parents, 4079s
  1950/2628 parents, 4146s
  2000/2628 parents, 4216s
  2050/2628 parents, 4287s
  2100/2628 parents, 4357s
  2150/2628 parents, 4428s
  2200/2628 parents, 4493s
  2250/2628 parents, 4562s
  2300/2628 parents, 4630s
  2350/2628 parents, 4703s
  2400/2628 parents, 4768s
  2450/2628 parents, 4837s
  2500/2628 parents, 4905s
  2550/2628 parents, 4975s
  2600/2628 parents, 5050s
{
 "r": 4,
 "n": 9,
 "N_chi": "1722704635330560",
 "N_pairs": "861352317665280",
 "sum_E_over_reps": 176265330,
 "parents": 2628,
 "seconds": 5088.900936365128
}
