0 root
1 0 0 2,5,8,7,6,3,1,4,9 30 0
2 1 8 8,1,5,4,7,6,2,3,9 2 0
3 1 42 3,1,2,5,4,9,7,6,8 28 0
4 1 46 6,2,7,9,5,3,4,8,1 129 0
5 1 50 5,1,6,3,4,9,8,7,2 0 0
6 2 2 2,7,3,9,5,8,4,1,6 2 0
7 2 30 1,4,5,9,8,3,2,7,6 110 0
8 2 52 3,4,2,6,5,1,8,7,9 99 0
9 2 80 7,9,5,2,1,6,3,8,4 175 0
10 3 16 1,2,3,4,5,7,6,8,9 0 0
11 3 40 3,1,7,6,9,5,8,2,4 125 0
12 3 46 2,7,3,5,4,9,6,1,8 162 0
13 4 41 2,6,3,4,5,8,9,7,1 113 0
14 4 78 6,7,1,8,9,2,4,5,3 99 0
15 5 12 1,5,9,4,7,6,2,8,3 168 0
16 5 52 3,4,1,5,2,9,7,6,8 23 0
17 5 78 7,5,4,2,3,6,9,1,8 71 0
18 6 12 1,5,4,9,6,8,2,3,7 145 0
19 6 19 2,3,6,1,4,5,7,8,9 63 0
20 6 33 2,4,5,1,3,6,8,9,7 27 0
21 6 41 8,1,3,6,4,7,5,9,2 17 0
22 6 51 2,1,4,6,9,3,5,8,7 0 0
23 6 59 1,2,3,5,4,7,8,6,9 0 0
24 6 73 3,4,8,5,2,6,1,9,7 19 0
25 6 78 2,5,7,3,4,6,1,8,9 17 0
26 7 8 8,3,4,5,7,2,9,6,1 29 0
27 7 49 2,3,7,6,9,5,4,8,1 187 0
28 7 50 2,7,9,5,3,4,6,8,1 189 0
29 8 51 3,2,5,7,8,9,6,4,1 47 0
30 8 61 6,2,5,3,1,4,8,7,9 1 0
31 8 72 3,2,8,1,7,4,5,6,9 45 0
32 8 75 4,1,2,6,3,7,5,8,9 40 0
33 8 77 7,3,1,4,2,6,8,5,9 43 0
34 9 51 4,9,7,8,6,2,3,1,5 177 0
35 9 79 2,1,5,6,8,7,3,4,9 0 0
36 10 16 1,9,3,8,7,4,6,2,5 131 0
37 11 16 3,4,8,2,6,5,7,1,9 208 0
38 11 43 2,4,6,9,3,1,5,7,8 214 0
39 11 53 3,1,6,5,4,2,9,8,7 8 0
40 11 75 1,3,4,9,2,6,7,5,8 12 0
41 11 77 2,1,7,4,5,6,8,3,9 3 0
42 12 15 8,1,3,5,2,4,7,9,6 190 0
43 12 72 3,2,8,5,1,7,4,6,9 34 0
44 12 77 7,3,1,5,2,6,8,4,9 36 0
45 13 30 2,4,3,1,7,8,6,5,9 147 0
46 13 32 2,6,1,4,7,3,5,9,8 34 0
47 13 62 1,3,8,4,5,2,7,6,9 9 0
48 13 74 9,1,3,4,5,2,8,6,7 109 0
49 13 82 5,4,3,1,6,7,8,2,9 17 0
50 14 69 5,1,2,4,3,8,6,9,7 188 0
51 15 34 7,1,2,9,8,5,6,3,4 168 0
52 15 52 2,5,4,3,1,9,6,8,7 4 0
53 15 81 2,9,1,8,3,5,6,7,4 233 0
54 16 26 4,1,5,2,3,8,6,7,9 8 0
55 16 70 7,2,4,8,1,5,6,3,9 66 0
56 18 2 1,2,6,3,4,5,8,9,7 0 0
57 18 6 1,2,4,9,5,6,3,8,7 3 0
58 18 10 1,2,4,3,5,6,7,8,9 35 0
59 18 33 2,9,1,3,4,8,7,5,6 29 0
60 18 49 8,1,2,7,9,5,3,6,4 227 0
