0 root
1 0 0 7,2,3,6,8,1,4,9,5 127 0
2 1 42 9,1,3,2,5,4,7,6,8 190 0
3 1 51 6,3,5,1,7,8,2,4,9 18 0
4 1 52 4,5,7,9,1,6,2,3,8 167 0
5 1 57 2,4,1,6,9,3,8,7,5 178 0
6 2 25 4,3,9,8,7,6,2,5,1 172 0
7 2 37 3,5,2,7,9,4,8,1,6 36 0
8 2 52 5,3,7,9,1,2,6,8,4 7 0
9 3 30 6,9,5,8,1,3,7,4,2 143 0
10 3 46 3,2,4,5,7,8,6,1,9 39 0
11 4 68 3,2,5,8,9,4,1,6,7 22 0
12 5 12 3,2,9,4,8,5,7,1,6 182 0
13 6 1 1,4,7,6,9,5,2,3,8 141 0
14 6 37 5,1,6,9,2,3,8,7,4 199 0
15 6 68 2,3,5,8,9,4,1,6,7 20 0
16 6 71 2,5,3,8,7,1,4,6,9 0 0
17 7 12 3,2,9,4,7,8,5,1,6 102 0
18 7 32 4,2,3,1,8,9,5,6,7 15 0
19 8 100 1,3,8,5,4,6,7,2,9 126 0
20 9 12 3,9,2,8,5,4,7,6,1 173 0
21 9 38 1,2,4,5,3,7,6,8,9 7 0
22 9 97 3,1,6,2,5,8,4,9,7 169 0
23 10 67 1,2,4,5,7,6,3,9,8 217 0
24 11 43 3,6,1,2,7,4,5,9,8 96 0
25 12 54 1,2,3,8,4,6,7,9,5 7 0
26 13 66 1,7,4,3,8,5,2,6,9 78 0
27 13 89 1,2,3,4,7,5,6,8,9 0 0
28 14 68 3,2,5,1,9,8,4,7,6 22 0
29 15 44 1,2,3,6,7,4,9,8,5 5 0
30 15 78 1,3,7,2,6,8,5,4,9 70 0
31 15 111 3,2,4,1,5,6,7,9,8 105 0
32 15 116 1,3,4,9,2,6,5,7,8 1 0
33 16 65 1,2,3,4,9,7,6,5,8 0 0
34 16 101 1,6,3,5,4,2,7,9,8 4 0
35 17 1 1,2,4,6,7,3,8,5,9 108 0
36 17 25 1,3,5,2,9,8,7,4,6 19 0
37 17 64 1,2,3,8,4,6,7,9,5 7 0
38 18 21 5,3,4,1,6,2,8,9,7 43 0
39 18 94 3,1,6,5,4,8,2,7,9 2 0
40 18 111 2,3,1,4,8,5,6,7,9 0 0
41 19 75 2,4,1,7,3,5,9,6,8 115 0
42 20 90 1,3,4,7,5,2,6,8,9 44 0
43 20 109 7,3,2,1,4,6,5,8,9 64 0
44 21 21 3,4,6,8,2,1,5,9,7 236 0
45 22 47 2,4,9,5,7,3,6,1,8 236 0
46 23 100 2,1,7,3,4,6,5,8,9 225 0
47 24 67 1,5,4,9,3,7,2,6,8 1 0
48 24 95 1,6,3,4,5,8,9,7,2 36 0
49 25 43 3,1,6,7,2,8,9,4,5 4 0
50 26 61 1,8,2,5,7,4,3,9,6 113 0
51 27 68 1,3,4,5,2,6,9,7,8 126 0
52 27 96 1,2,4,8,5,3,6,7,9 12 0
53 28 87 3,4,1,2,7,8,5,6,9 0 0
54 29 120 4,2,1,3,5,6,9,7,8 19 0
55 30 100 1,2,4,5,3,7,8,6,9 7 0
56 30 109 3,2,1,7,5,4,6,9,8 0 0
57 30 117 5,2,1,3,4,6,7,9,8 19 0
58 31 108 2,4,3,1,5,6,9,7,8 3 0
59 32 88 1,5,2,8,6,3,9,4,7 17 0
60 33 32 3,1,4,2,5,7,8,6,9 105 0
61 33 44 1,3,2,6,7,4,5,9,8 5 0
62 34 108 3,1,5,6,7,2,8,4,9 67 0
63 35 51 1,2,3,4,6,7,8,5,9 3 0
64 35 99 1,7,2,3,5,4,6,8,9 2 0
65 36 11 1,2,3,9,4,5,6,7,8 7 0
66 37 43 3,1,7,6,2,8,4,9,5 3 0
67 37 68 1,2,3,8,4,5,6,9,7 0 0
68 38 63 3,1,4,5,6,7,2,8,9 27 0
69 39 115 2,4,3,7,1,5,6,8,9 13 0
70 40 99 1,6,3,8,4,2,7,5,9 69 0
71 41 88 2,4,1,7,5,3,8,6,9 141 0
72 42 117 4,2,3,7,6,5,1,9,8 35 0
73 43 114 3,1,4,5,6,2,7,8,9 68 0
74 44 31 1,3,9,4,8,5,7,2,6 36 0
75 44 67 1,2,3,4,5,7,8,6,9 0 0
76 44 73 1,3,2,4,8,5,9,7,6 6 0
77 45 38 1,3,2,5,6,7,4,9,8 0 0
78 46 111 1,2,4,3,7,9,8,5,6 172 0
79 47 14 1,2,3,8,4,5,6,9,7 7 0
80 48 32 2,4,1,3,9,5,6,8,7 230 0
81 48 65 3,4,1,2,9,5,8,6,7 224 0
82 49 50 1,2,3,4,5,7,6,9,8 0 0
83 50 35 4,7,1,9,5,3,2,6,8 243 0
84 51 66 1,2,3,4,7,5,6,9,8 0 0
85 52 103 3,1,2,4,6,7,5,8,9 7 0
86 53 68 7,3,8,4,1,2,6,5,9 91 0
87 54 102 3,1,4,2,6,7,5,8,9 8 0
88 55 103 1,3,2,4,7,6,5,8,9 1 0
89 56 114 1,3,7,4,6,5,2,8,9 91 0
90 56 117 2,3,6,5,4,1,7,9,8 39 0
91 56 120 5,2,1,4,6,3,7,8,9 2 0
92 57 117 4,3,6,1,2,8,7,5,9 96 0
93 58 124 3,1,2,5,6,4,7,8,9 6 0
94 59 68 3,5,9,2,4,1,6,8,7 0 0
95 60 97 1,3,2,4,5,8,6,7,9 6 0
96 61 66 1,6,7,2,3,4,5,8,9 5 0
97 61 67 1,6,7,3,2,5,4,8,9 100 0
98 62 95 1,5,6,2,8,3,4,7,9 50 0
99 63 74 3,2,1,4,7,6,8,5,9 3 0
100 64 118 1,3,2,5,7,4,6,9,8 3 0
101 65 26 2,1,3,4,6,7,8,9,5 7 0
102 66 30 1,2,3,4,5,6,8,9,7 0 0
103 67 44 2,1,6,7,3,5,4,8,9 156 0
104 68 98 2,3,4,5,6,1,7,9,8 1 0
105 69 108 1,6,3,2,4,5,7,8,9 0 0
106 70 118 1,5,2,4,3,6,8,7,9 18 0
107 71 53 2,3,1,4,7,5,6,9,8 6 0
108 72 108 1,2,6,4,3,7,5,8,9 126 0
109 72 122 5,1,3,4,2,6,7,9,8 67 0
110 73 112 1,7,3,2,4,5,6,8,9 7 0
111 74 30 1,2,5,8,3,6,9,4,7 108 0
112 75 66 1,3,2,4,7,5,6,8,9 6 0
113 76 68 1,6,2,3,7,5,9,8,4 145 0
114 76 99 1,2,6,3,5,9,8,4,7 146 0
115 77 59 1,3,5,2,4,8,6,7,9 83 0
116 78 32 1,2,4,8,3,9,5,7,6 184 0
117 79 50 2,1,5,7,3,8,4,6,9 83 0
118 80 91 6,9,7,1,3,8,2,5,4 129 0
119 81 95 4,2,3,1,5,6,8,7,9 9 0
120 82 85 3,1,2,4,7,9,6,8,5 7 0
121 83 67 1,3,9,4,5,2,6,7,8 121 0
122 84 121 1,2,3,4,7,6,5,9,8 6 0
123 85 114 2,1,6,3,4,5,8,9,7 225 0
