0 root
1 0 0 2,6,5,7,1,3,8,4 53 0
2 1 3 1,2,7,8,3,6,5,4 3 0
3 1 24 1,4,3,8,6,2,7,5 9 0
4 1 29 3,5,4,6,8,2,1,7 3 0
5 1 30 2,3,1,5,8,7,6,4 89 0
6 2 6 1,8,2,6,4,5,3,7 125 0
7 2 19 3,4,7,8,2,1,5,6 80 0
8 3 9 2,5,3,8,7,6,1,4 3 0
9 3 22 1,2,6,5,8,3,7,4 0 0
10 3 26 1,3,6,8,4,7,5,2 39 0
11 4 27 4,3,6,5,7,8,1,2 100 0
12 4 52 1,2,8,7,3,5,6,4 0 0
13 5 9 1,2,8,6,5,3,7,4 3 0
14 5 33 4,2,1,3,8,6,5,7 92 0
15 5 52 3,7,2,6,4,5,8,1 19 0
16 6 6 1,4,8,5,7,6,2,3 64 0
17 6 19 2,1,4,3,7,8,5,6 0 0
18 6 23 5,7,1,3,6,4,2,8 9 0
19 6 31 2,1,4,8,3,7,6,5 0 0
20 6 41 1,3,2,4,5,7,6,8 6 0
21 6 47 3,4,7,2,5,1,8,6 15 0
22 6 51 2,4,6,3,5,1,7,8 9 0
23 7 2 3,7,4,8,6,2,5,1 0 0
24 7 31 4,6,8,3,1,5,7,2 92 0
25 8 5 1,4,6,7,3,2,5,8 64 0
26 8 27 3,6,4,7,8,5,1,2 89 0
27 8 52 1,2,7,8,3,6,5,4 3 0
28 9 6 4,1,8,6,7,5,3,2 73 0
29 9 23 1,3,5,6,4,2,8,7 6 0
30 9 51 6,1,2,5,3,7,4,8 6 0
31 10 33 1,3,2,7,5,6,4,8 7 0
32 10 40 2,5,3,7,8,6,4,1 66 0
33 11 16 3,2,1,6,7,5,4,8 73 0
34 11 17 1,4,5,3,6,2,7,8 70 0
35 11 38 1,2,7,3,4,6,5,8 3 0
36 11 47 7,8,1,2,3,4,6,5 41 0
37 11 54 2,4,1,6,5,3,7,8 11 0
38 13 19 1,6,7,8,5,4,2,3 112 0
39 13 32 2,4,3,1,5,8,7,6 12 0
40 13 53 1,8,3,7,4,5,6,2 112 0
41 14 13 1,4,2,3,5,8,7,6 105 0
42 16 2 1,2,5,3,6,4,7,8 3 0
43 16 14 1,7,8,6,5,4,3,2 17 0
44 16 33 1,6,2,7,4,8,5,3 46 0
45 16 44 1,8,6,7,4,5,2,3 80 0
46 16 47 1,5,7,3,2,8,6,4 1 0
47 17 6 5,7,2,4,1,6,3,8 86 0
48 17 16 1,3,8,4,5,6,2,7 6 0
49 17 25 2,6,1,4,7,3,8,5 52 0
50 17 31 1,2,3,4,6,5,7,8 0 0
51 17 41 6,1,5,2,3,4,8,7 33 0
52 17 48 5,1,4,3,6,2,7,8 48 0
53 17 51 1,2,3,4,7,5,6,8 0 0
54 18 27 3,4,5,1,8,2,6,7 100 0
55 18 32 3,1,2,5,4,6,7,8 124 0
56 18 51 3,4,5,6,7,8,1,2 100 0
57 19 29 6,8,3,1,4,5,2,7 89 0
58 20 50 3,1,4,5,2,6,7,8 6 0
59 21 25 2,1,4,5,3,8,7,6 2 0
60 22 30 1,3,8,6,7,4,2,5 24 0
61 24 47 5,8,1,4,2,6,3,7 6 0
62 25 0 6,1,2,5,3,7,8,4 8 0
63 25 33 2,3,5,4,1,6,7,8 2 0
64 25 44 1,4,6,3,2,5,7,8 1 0
65 25 47 2,4,5,7,1,3,6,8 99 0
66 26 7 2,4,1,3,5,6,8,7 102 0
67 26 9 2,1,5,7,3,4,6,8 0 0
68 26 42 7,8,1,3,6,2,4,5 108 0
69 26 47 2,1,3,4,5,6,7,8 3 0
70 27 44 4,5,1,3,2,6,8,7 88 0
71 28 4 1,2,3,7,4,6,8,5 16 0
72 28 34 1,7,8,4,2,6,3,5 46 0
73 28 43 4,2,1,3,7,8,5,6 44 0
74 28 48 1,8,7,4,2,6,3,5 17 0
75 29 43 2,1,5,4,3,6,7,8 2 0
76 29 55 4,1,2,5,8,7,3,6 1 0
77 31 30 1,2,5,3,4,6,8,7 3 0
78 33 33 3,1,4,6,2,5,7,8 82 0
79 33 38 2,4,1,3,7,6,5,8 118 0
80 33 49 2,7,4,1,3,5,6,8 16 0
81 33 52 3,5,1,4,6,8,2,7 67 0
82 38 9 1,3,7,6,5,8,2,4 3 0
83 38 24 2,7,1,5,3,8,6,4 73 0
84 39 34 7,8,1,2,5,6,3,4 41 0
85 42 0 1,8,3,6,4,5,2,7 56 0
86 42 7 1,2,4,7,6,3,8,5 3 0
87 42 17 1,2,7,4,6,8,5,3 0 0
88 42 25 1,2,8,7,5,4,3,6 3 0
89 42 34 1,7,2,5,8,6,3,4 70 0
90 42 44 1,3,7,6,2,4,8,5 3 0
91 42 47 1,8,7,2,3,6,5,4 56 0
92 42 51 5,1,2,6,4,7,3,8 56 0
93 43 25 2,5,1,3,8,7,4,6 81 0
94 43 37 7,1,6,8,3,5,2,4 46 0
95 44 15 5,3,2,1,7,8,6,4 2 0
96 44 46 2,3,7,5,4,1,8,6 4 0
97 45 24 1,3,5,8,6,2,4,7 3 0
98 46 18 6,1,4,5,2,8,3,7 38 0
99 47 30 5,6,4,3,1,7,2,8 87 0
100 48 55 1,2,6,3,4,7,8,5 0 0
101 50 42 1,2,3,7,5,6,4,8 0 0
102 50 44 3,1,5,2,6,4,7,8 6 0
103 54 6 4,6,2,7,5,1,3,8 22 0
104 54 34 4,6,1,2,3,7,8,5 62 0
105 59 34 1,4,5,6,7,8,3,2 32 0
106 62 3 2,1,3,4,5,6,8,7 2 0
107 62 26 3,8,4,6,1,7,2,5 88 0
108 63 30 2,4,3,1,6,5,7,8 3 0
109 63 40 4,3,6,5,8,7,2,1 116 0
110 63 46 1,3,4,2,5,8,7,6 3 0
111 66 26 4,2,6,3,5,1,8,7 28 0
112 67 17 6,5,1,2,3,4,8,7 73 0
113 67 32 1,3,5,4,7,8,2,6 2 0
114 67 54 1,2,6,3,4,7,8,5 3 0
115 71 34 6,8,1,4,5,2,3,7 3 0
116 71 52 5,2,1,3,4,6,8,7 75 0
117 72 15 1,4,5,8,7,6,2,3 0 0
118 72 52 4,2,1,7,8,5,3,6 73 0
119 73 45 6,7,3,5,1,2,4,8 118 0
120 78 48 1,5,2,3,7,4,6,8 16 0
121 83 16 1,2,7,6,5,8,3,4 2 0
122 85 2 1,2,3,4,7,5,8,6 2 0
123 85 16 7,3,2,6,5,1,4,8 57 0
124 85 33 4,3,1,2,5,6,8,7 60 0
125 86 44 1,3,4,5,8,2,6,7 108 0
126 87 33 1,3,8,6,2,4,5,7 120 0
127 88 18 2,1,7,8,6,4,5,3 0 0
128 89 6 4,8,1,6,7,3,5,2 102 0
129 90 24 1,3,7,2,4,8,6,5 3 0
130 93 7 6,2,1,3,5,4,8,7 0 0
131 94 25 1,2,3,4,6,8,5,7 0 0
132 95 32 1,5,2,3,6,7,4,8 57 0
133 97 14 6,3,4,1,8,5,7,2 15 0
134 99 41 5,7,6,8,1,3,4,2 105 0
