row	depth	verdict	method	seconds	max_entry	witness_L0	witness_L1	exact_lp	exact_infeasible	deletions_covered	fp_levels_tried
46731	21	REALIZABLE	walk	1.79	1024	yes	yes				
69368	20	REALIZABLE	walk	16.63	64	yes	yes				
69566	17	REALIZABLE	walk	16.21	256	yes	yes				
69816	15	REALIZABLE	walk	1.60	262144	yes	yes				
118764	18	REALIZABLE	store_walk	0.96	256	yes	yes				
128257	18	REALIZABLE	walk	4.99	1024	yes	yes				
129082	23	REALIZABLE	walk	14.96	1024	yes	yes				
161446	17	REALIZABLE	walk	1.59	16384	yes	yes				
176370	19	REALIZABLE	walk	2.42	1024	yes	yes				
220350	18	REALIZABLE	fresh	1.55	1024	yes	yes				
242592	20	REALIZABLE	walk	2.66	1024	yes	yes				
254042	22	REALIZABLE	walk	7.15	16384	yes	yes				
272814	19	REALIZABLE	walk	9.42	16384	yes	yes				
274772	17	REALIZABLE	walk	2.83	64	yes	yes				
282184	20	REALIZABLE	walk	3.96	256	yes	yes				
303394	19	REALIZABLE	walk	32.75	8192	yes	yes				
317216	26	REALIZABLE	walk	4.55	1024	yes	yes				
319785	18	REALIZABLE	store_walk	0.88	1024	yes	yes				
331960	19	REALIZABLE	store_walk	0.73	1024	yes	yes				
338300	17	REALIZABLE	walk	23.29	1024	yes	yes				
357940	19	REALIZABLE	walk	10.99	1024	yes	yes				
362222	18	REALIZABLE	walk	6.49	1024	yes	yes				
367890	19	REALIZABLE	walk	7.22	16384	yes	yes				
375712	20	REALIZABLE	walk	29.39	1024	yes	yes				
383472	15	REALIZABLE	walk	35.19	1024	yes	yes				
461608	23	REALIZABLE	walk	2.64	1024	yes	yes				
471533	21	REALIZABLE	walk	2.79	16384	yes	yes				
479804	20	REALIZABLE	walk	1.38	64	yes	yes				
482339	17	REALIZABLE	fresh	1.07	1024	yes	yes				
541044	24	REALIZABLE	walk	17.02	16384	yes	yes				
560157	15	REALIZABLE	walk	6.07	1024	yes	yes				
563127	19	REALIZABLE	walk	9.20	1024	yes	yes				
586623	16	REALIZABLE	walk	4.63	8192	yes	yes				
595394	15	REALIZABLE	walk	8.88	1024	yes	yes				
604909	18	REALIZABLE	walk	2.52	262144	yes	yes				
612224	18	REALIZABLE	walk	29.90	256	yes	yes				
635791	24	REALIZABLE	walk	38.59	1024	yes	yes				
638582	20	REALIZABLE	walk	2.74	1024	yes	yes				
699735	20	REALIZABLE	walk	3.25	1024	yes	yes				
705805	18	REALIZABLE	walk	1.51	512	yes	yes				
710482	17	REALIZABLE	walk	3.41	16384	yes	yes				
711053	17	REALIZABLE	walk	2.55	512	yes	yes				
746892	18	REALIZABLE	walk	1.45	16384	yes	yes				
761880	18	REALIZABLE	walk	5.43	1024	yes	yes				
771844	18	REALIZABLE	walk	2.11	131072	yes	yes				
777026	21	REALIZABLE	walk	19.99	1024	yes	yes				
785797	15	REALIZABLE	walk	30.50	1024	yes	yes				
801301	21	REALIZABLE	walk	20.76	64	yes	yes				
802666	19	REALIZABLE	fresh	2.00	1024	yes	yes				
828175	21	REALIZABLE	store	1.22	1024	yes	yes				
849936	23	REALIZABLE	walk	2.67	1024	yes	yes				
865559	15	REALIZABLE	walk	1.90	1024	yes	yes				
902448	16	REALIZABLE	walk	1.06	64	yes	yes				
910517	17	REALIZABLE	walk	1.08	1024	yes	yes				
922831	21	REALIZABLE	walk	2.37	1024	yes	yes				
950263	15	REALIZABLE	walk	3.92	16384	yes	yes				
954944	19	REALIZABLE	walk	5.07	16384	yes	yes				
977620	18	REALIZABLE	walk	4.14	16384	yes	yes				
991473	21	REALIZABLE	walk	4.33	1024	yes	yes				
998077	19	REALIZABLE	walk	5.70	1024	yes	yes				
998211	21	REALIZABLE	store	1.13	256	yes	yes				
1004217	18	REALIZABLE	walk	1.53	1024	yes	yes				
1005826	21	REALIZABLE	walk	20.26	16384	yes	yes				
1037864	21	REALIZABLE	walk	2.09	1024	yes	yes				
1041960	19	REALIZABLE	walk	44.61	1024	yes	yes				
1084812	24	REALIZABLE	walk	34.20	1024	yes	yes				
1097568	18	REALIZABLE	walk	5.26	16384	yes	yes				
1102214	20	REALIZABLE	store_walk	1.15	64	yes	yes				
1114374	19	REALIZABLE	walk	2.36	1024	yes	yes				
1132081	19	REALIZABLE	store_walk	1.56	64	yes	yes				
1152258	18	REALIZABLE	walk	22.19	16384	yes	yes				
1164918	16	REALIZABLE	walk	0.94	64	yes	yes				
1170862	19	REALIZABLE	walk	2.88	64	yes	yes				
1182996	22	REALIZABLE	walk	6.54	1024	yes	yes				
1200032	15	REALIZABLE	walk	8.71	16384	yes	yes				
1202926	21	REALIZABLE	walk	5.90	16384	yes	yes				
1207981	19	REALIZABLE	fresh	0.97	16384	yes	yes				
1208882	19	REALIZABLE	walk	4.36	64	yes	yes				
1213079	16	REALIZABLE	walk	11.71	262144	yes	yes				
1242292	22	REALIZABLE	walk	1.95	262144	yes	yes				
1246075	18	REALIZABLE	walk	23.75	1024	yes	yes				
1260426	18	REALIZABLE	walk	32.74	16384	yes	yes				
1278069	15	REALIZABLE	walk	14.28	16384	yes	yes				
1303828	21	REALIZABLE	walk	16.73	16384	yes	yes				
1321961	16	REALIZABLE	store	0.76	64	yes	yes				
1329822	20	REALIZABLE	walk	92.38	1024	yes	yes				
1338010	22	REALIZABLE	walk	17.01	16384	yes	yes				
1341479	21	REALIZABLE	walk	29.67	8192	yes	yes				
1345534	17	REALIZABLE	fresh	1.01	16384	yes	yes				
1351088	19	REALIZABLE	store_walk	1.88	8192	yes	yes				
1372417	19	REALIZABLE	store	1.74	1024	yes	yes				
1407171	16	REALIZABLE	walk	20.32	1024	yes	yes				
1419655	17	REALIZABLE	walk	4.59	16384	yes	yes				
1428097	23	REALIZABLE	walk	35.80	1024	yes	yes				
1430412	21	REALIZABLE	walk	8.53	1024	yes	yes				
1430874	20	REALIZABLE	store	0.89	4096	yes	yes				
1437575	20	REALIZABLE	walk	7.33	1024	yes	yes				
1481122	23	REALIZABLE	store_walk	1.04	64	yes	yes				
1482377	18	REALIZABLE	walk	48.47	1024	yes	yes				
1485575	21	REALIZABLE	walk	2.15	1024	yes	yes				
1486611	15	REALIZABLE	walk	0.98	256	yes	yes				
1504477	17	REALIZABLE	walk	1.21	1024	yes	yes				
1510131	15	REALIZABLE	walk	24.75	1024	yes	yes				
1514892	16	REALIZABLE	walk	4.14	1024	yes	yes				
1518293	17	REALIZABLE	walk	16.49	1024	yes	yes				
1544603	22	REALIZABLE	walk	10.53	1024	yes	yes				
1555339	18	REALIZABLE	walk	3.07	16384	yes	yes				
1577209	20	REALIZABLE	store	0.97	1024	yes	yes				
1592644	21	REALIZABLE	walk	1.71	64	yes	yes				
1650169	19	REALIZABLE	walk	3.15	16384	yes	yes				
1674635	20	REALIZABLE	walk	2.23	16384	yes	yes				
1684953	17	REALIZABLE	walk	3.98	262144	yes	yes				
1697361	21	REALIZABLE	walk	13.16	1024	yes	yes				
1702648	18	REALIZABLE	fresh	1.29	1024	yes	yes				
1705788	19	REALIZABLE	walk	3.47	1024	yes	yes				
1711280	19	REALIZABLE	walk	8.07	1024	yes	yes				
1761704	21	REALIZABLE	walk	50.18	16384	yes	yes				
1766203	18	REALIZABLE	walk	4.57	16384	yes	yes				
1769360	16	REALIZABLE	walk	21.48	1024	yes	yes				
1771198	19	REALIZABLE	walk	9.26	1024	yes	yes				
1774140	17	REALIZABLE	walk	26.22	16384	yes	yes				
1790566	21	REALIZABLE	walk	2.97	64	yes	yes				
1791359	20	REALIZABLE	walk	2.47	16384	yes	yes				
1805687	21	REALIZABLE	walk	1.88	1024	yes	yes				
1841418	19	REALIZABLE	walk	18.28	1024	yes	yes				
1857375	20	REALIZABLE	walk	25.85	16384	yes	yes				
1862494	17	REALIZABLE	walk	3.34	64	yes	yes				
1865511	16	REALIZABLE	walk	21.18	1024	yes	yes				
1872381	18	REALIZABLE	walk	3.15	16384	yes	yes				
1875632	24	REALIZABLE	walk	29.48	16384	yes	yes				
1886053	22	REALIZABLE	walk	5.29	1024	yes	yes				
1891741	21	REALIZABLE	walk	12.66	1024	yes	yes				
1909005	20	REALIZABLE	walk	3.22	1024	yes	yes				
1922968	21	REALIZABLE	walk	4.42	1024	yes	yes				
1923081	18	REALIZABLE	walk	2.90	256	yes	yes				
1934773	21	REALIZABLE	walk	1.49	1024	yes	yes				
1940365	19	REALIZABLE	walk	35.17	1024	yes	yes				
1963286	21	REALIZABLE	walk	3.21	16384	yes	yes				
1969147	20	REALIZABLE	walk	1.95	1024	yes	yes				
1983462	19	REALIZABLE	walk	10.39	1024	yes	yes				
1988690	17	REALIZABLE	walk	15.38	1024	yes	yes				
1989477	16	REALIZABLE	walk	19.66	64	yes	yes				
2008328	19	REALIZABLE	walk	2.24	1024	yes	yes				
2016110	17	REALIZABLE	walk	5.65	8192	yes	yes				
2069473	18	REALIZABLE	walk	7.48	16384	yes	yes				
2075101	20	REALIZABLE	walk	31.11	512	yes	yes				
2078423	20	REALIZABLE	walk	1.59	1024	yes	yes				
2081164	20	REALIZABLE	store_walk	1.47	16384	yes	yes				
2081170	18	REALIZABLE	walk	2.90	1024	yes	yes				
2091742	19	REALIZABLE	walk	43.20	16384	yes	yes				
2126752	14	REALIZABLE	store	0.59	1024	yes	yes				
2141986	19	REALIZABLE	walk	17.99	1024	yes	yes				
2155979	19	REALIZABLE	walk	4.82	16384	yes	yes				
2164183	19	REALIZABLE	walk	3.07	16384	yes	yes				
2183269	18	REALIZABLE	fresh	1.28	1024	yes	yes				
2188427	20	REALIZABLE	walk	9.01	1024	yes	yes				
2204680	20	REALIZABLE	walk	2.25	1024	yes	yes				
2204739	18	REALIZABLE	store	1.22	256	yes	yes				
2218209	17	REALIZABLE	walk	3.89	1024	yes	yes				
2239264	19	REALIZABLE	walk	14.08	1024	yes	yes				
2246262	14	REALIZABLE	store_walk	0.25	1024	yes	yes				
2282929	19	REALIZABLE	walk	9.83	1024	yes	yes				
2297105	18	REALIZABLE	fresh	2.23	16384	yes	yes				
2308629	20	REALIZABLE	walk	3.62	1024	yes	yes				
2334901	19	REALIZABLE	walk	3.33	1024	yes	yes				
2337131	19	REALIZABLE	walk	11.45	1024	yes	yes				
2367423	19	REALIZABLE	walk	4.90	1024	yes	yes				
2383063	18	REALIZABLE	store	0.99	4096	yes	yes				
2400626	18	REALIZABLE	walk	178.68	1024	yes	yes				
2403470	18	REALIZABLE	store_walk	1.19	1024	yes	yes				
2422219	17	REALIZABLE	walk	37.03	1024	yes	yes				
2432532	19	REALIZABLE	fresh	2.79	1024	yes	yes				
2444483	17	REALIZABLE	walk	10.97	16384	yes	yes				
2472030	16	REALIZABLE	store_walk	0.40	1024	yes	yes				
2533674	21	REALIZABLE	walk	9.04	1024	yes	yes				
2540731	17	REALIZABLE	walk	2.10	1024	yes	yes				
2569376	22	REALIZABLE	walk	5.59	1024	yes	yes				
2579493	20	REALIZABLE	walk	2.98	1024	yes	yes				
2595537	17	REALIZABLE	walk	8.97	1024	yes	yes				
2605311	19	REALIZABLE	walk	2.22	16384	yes	yes				
2610382	22	REALIZABLE	store_walk	1.18	16384	yes	yes				
2614882	21	REALIZABLE	walk	3.31	16384	yes	yes				
2616175	17	REALIZABLE	walk	2.15	2048	yes	yes				
2621036	20	REALIZABLE	walk	29.79	16384	yes	yes				
2635483	15	REALIZABLE	fresh	0.19	512	yes	yes				
2639833	21	REALIZABLE	fresh	1.89	1024	yes	yes				
2654739	20	REALIZABLE	store	1.42	256	yes	yes				
2661356	21	REALIZABLE	walk	19.68	1024	yes	yes				
2664774	22	REALIZABLE	walk	2.34	1024	yes	yes				
2672675	18	REALIZABLE	walk	3.61	16384	yes	yes				
2706717	17	REALIZABLE	walk	3.90	16384	yes	yes				
2717208	21	REALIZABLE	walk	5.53	1024	yes	yes				
2717342	20	REALIZABLE	store_walk	1.22	64	yes	yes				
2718178	19	REALIZABLE	walk	1.55	4096	yes	yes				
2725178	23	REALIZABLE	fresh	1.98	1024	yes	yes				
